State,CMS Certification Number (CCN),Provider Name,Address,City,Zip,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Quality of patient care star rating,How often the home health team began their patients’ care in a timely manner,How often the home health team taught patients (or their family caregivers) about their drugs,How often the home health team checked patients’ risk of falling,How often the home health team checked patients for depression,How often the home health team determined whether patients received a flu shot for the currnet flu season,How often the home health team made sure that their patients have received a pneumococcal vaccine (pneumonia shot),"With diabetes, how often the home health team got doctor’s orders, gave foot care, and taught patients about foot care",How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients had less pain when moving around,How often patients’ breathing improved,How often patients’ wounds improved or healed after an operation,How often patients got better at taking their drugs correctly by mouth,How often home health patients had to be admitted to the hospital,"How often patients receiving home health care needed urgent, unplanned care in the ER without being admitted","How often home health patients, who have had a recent hospital stay, had to be re-admitted to the hospital","How often home health patients, who have had a recent hospital stay, received care in the hospital emergency room without being readmitted to the hospital",HHCAHPS Survey Summary Star Rating,Star Rating for health team gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family"
AL,17000,BUREAU OF HOME & COMMUNITY SERVICES,"201 MONROE STREET, THE RSA TOWER,  SUITE 1200",MONTGOMERY,36104,Government - State/ County,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
AL,17008,JEFFERSON COUNTY HOME CARE,2201 ARLINGTON AVENUE,BESSEMER,35020,Government - State/ County,Yes,Yes,Yes,Yes,Yes,Yes,4,82.8,98.3,98.3,100,48.8,64.7,98.6,79.9,78.8,82.3,85,87.5,,59.5,14.1,17.1,Not Available,Not Available,4,4,90,4,88,3,84,5,92,76
AL,17009,ALACARE HOME HEALTH & HOSPICE,2970 LORNA ROAD,BIRMINGHAM,35216,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4,92.2,99,100,99.8,75.8,81.5,98.9,77.4,73.5,81.6,83.7,78.3,94,68.3,18.8,10.5,Worse Than Expected,Worse Than Expected,5,5,91,5,89,4,89,4,90,82
AL,17013,GENTIVA HEALTH SERVICES,1239 RUCKER BLVD,ENTERPRISE,36330,Proprietary,Yes,Yes,Yes,No,No,Yes,4,98.8,98.4,99.8,99.6,78.1,78.4,99.3,79.5,68.1,82.7,82.8,79.7,90.1,60.4,18.7,14.2,Worse Than Expected,Same As Expected,5,5,93,5,92,5,91,4,93,90
AL,17014,AMEDISYS HOME HEALTH,68278 MAIN STREET,BLOUNTSVILLE,35031,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4,95.4,96.9,99.2,97.4,84.9,79.7,92.7,78.5,63.9,77.3,67.4,80.9,90.7,67.6,15,10.8,Same As Expected,Same As Expected,4,4,88,5,87,3,85,4,84,81
AL,17016,SOUTHEAST ALABAMA HOMECARE,804 GLOVER AVENUE,ENTERPRISE,36330,Proprietary,Yes,Yes,Yes,Yes,Yes,No,4.5,98.2,99.8,100,99.6,81.3,82.1,100,78.6,73.1,82.9,81.5,86.3,91.8,62.7,18.7,14.9,Same As Expected,Same As Expected,5,4,91,5,88,5,91,4,89,86
AL,17017,SOUTHERN RURAL HEALTH CARE,508 ST CLAIR STREET SE,RUSSELLVILLE,35653,Non - Profit Private,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
AL,17018,GENTIVA HEALTH SERVICES,"3225 RAINBOW STREET, SUITE 256",RAINBOW CITY,35906,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4,94.1,98.5,100,98.9,85.4,85.6,98.6,77.6,68.8,80.6,73.5,77.3,90.9,60.4,19.3,12.1,Worse Than Expected,Same As Expected,4,5,92,4,88,4,88,4,90,86
AL,17020,AMEDISYS HOME HEALTH CARE,"273 AZALEA ROAD, SUITE 204, BLDG 2",MOBILE,36609,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4,89.8,98.6,99.1,89.4,69.6,68.4,95.2,78.6,69,81.2,78,81.6,92.8,68.8,15.8,9.4,Same As Expected,Same As Expected,3,2,84,3,83,3,83,3,81,79
AL,17024,SOUTHEAST ALABAMA HOMECARE,2841 MONTGOMERY HIGHWAY,DOTHAN,36301,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,5,97.7,99.9,100,99.6,83.6,83.3,99.1,86.3,76.4,85.4,85.7,83.5,94.4,67.1,13.5,13.3,Same As Expected,Same As Expected,4,4,90,5,89,4,88,3,86,82
AL,17025,SAAD HEALTHCARE,"1515 UNIVERSITY BLVD, SOUTH",MOBILE,36609,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,2,93.5,96.7,99,95.4,55.2,49.4,95.5,62.4,54.6,67,61.1,64.3,86.6,58.5,21.1,10.3,Worse Than Expected,Same As Expected,4,4,90,4,88,3,85,3,84,84
AL,17026,GENTIVA HEALTH SERVICES,"2200 RIVERCHASE PARKWAY, BUILDING 700",BIRMINGHAM,35244,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3,80.7,98.4,99.9,99.1,69.4,75.1,95.5,67.6,61.7,70,79.5,71.1,82.4,58.1,16.7,12.2,Same As Expected,Worse Than Expected,4,4,90,4,87,3,85,4,87,85
AL,17027,DECATUR MORGAN HOMECARE,"2708 HIGHWAY 31 SOUTH, SUITE B",DECATUR,35603,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4.5,98.1,99.7,99.9,99.9,74.9,80,99.6,82.6,75.3,84.4,78.6,80.5,97.1,69.7,15.9,13.1,Same As Expected,Same As Expected,4,5,91,4,89,4,87,4,89,86
AL,17028,CENTRAL ALABAMA HOMECARE,345 WALKER CHAPEL PLAZA,FULTONDALE,35068,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,2.5,88.6,96.7,98.8,96.7,60.3,88,98.8,70.9,61.8,65.1,56.1,62.4,,55.3,16.7,14.6,Not Available,Not Available,4,4,90,5,90,4,87,3,86,72
